Protein_ID,Superfamily,Family,Subfamily
O00253,,No SIMILARITY comment found,
O00254,,G-protein coupled receptor 1 family,
O00255,,No SIMILARITY comment found,
O00257,,No SIMILARITY comment found,
O00258,,WRB/GET1 family,
O00264,,cytochrome b5 family,MAPR subfamily
O00267,,SPT5 family,
O00268,,TAF4 family,
O00270,,G-protein coupled receptor 1 family,
O00273,,No SIMILARITY comment found,
O00287,,No SIMILARITY comment found,
O00291,,SLA2 family,
O00292,,TGF-beta family,
O00294,,TUB family,
O00295,,TUB family,
O00299,,chloride channel CLIC family,
O00300,,No SIMILARITY comment found,
O00303,,eIF-3 subunit F family,
O00305,,calcium channel beta subunit family,
O00308,,No SIMILARITY comment found,
O00311,protein kinase superfamily,Ser/Thr protein kinase family,CDC7 subfamily
O00321,,ETS family,
O00322,,tetraspanin (TM4SF) family,
O00327,,No SIMILARITY comment found,
O00329,,PI3/PI4-kinase family,
O00330,,2-oxoacid dehydrogenase family,
O00337,,41) family,
O00338,,sulfotransferase 1 family,
O00339,,No SIMILARITY comment found,
O00341,,23) family,SLC1A7 subfamily
O00358,,No SIMILARITY comment found,
O00370,,No SIMILARITY comment found,
O00391,,quiescin-sulfhydryl oxidase (QSOX) family,
O00398,,G-protein coupled receptor 1 family,
O00399,,dynactin subunits 5/6 family,Dynactin subunit 6 subfamily
O00400,,SLC33A transporter family,
O00401,,No SIMILARITY comment found,
O00408,,cyclic nucleotide phosphodiesterase family,PDE2 subfamily
O00409,,No SIMILARITY comment found,
O00410,,importin beta family,Importin beta-3 subfamily
O00411,,phage and mitochondrial RNA polymerase family,
O00418,protein kinase superfamily,Alpha-type protein kinase family,
O00421,,G-protein coupled receptor 1 family,
O00422,,SAP18 family,
O00423,,WD repeat EMAP family,
O00425,,RRM IMP/VICKZ family,
O00429,TRAFAC class dynamin-like GTPase superfamily,Dynamin/Fzo/YdjA family,
O00442,,RNA 3'-terminal cyclase family,Type 1 subfamily
O00443,,PI3/PI4-kinase family,
O00444,protein kinase superfamily,Ser/Thr protein kinase family,CDC5/Polo subfamily
O00445,,synaptotagmin family,
O00451,,GDNFR family,
O00453,,LST1 family,
O00458,,IFRD family,
O00459,,PI3K p85 subunit family,
O00461,,GOLIM4 family,
O00462,,glycosyl hydrolase 2 family,
O00463,,TNF receptor-associated factor family,A subfamily
O00468,,No SIMILARITY comment found,
O00469,,No SIMILARITY comment found,
O00470,,TALE/MEIS homeobox family,
O00471,,SEC10 family,
O00472,,ELL/occludin family,
O00476,major facilitator superfamily,Sodium/anion cotransporter family,
O00478,immunoglobulin superfamily,BTN/MOG family,
O00479,,HMGN family,
O00481,immunoglobulin superfamily,BTN/MOG family,
O00482,,nuclear hormone receptor family,NR5 subfamily
O00483,,complex IV NDUFA4 subunit family,
O00487,,peptidase M67A family,PSMD14 subfamily
O00488,,ZNF593/BUD20 C2H2-type zinc-finger protein family,
O00499,,No SIMILARITY comment found,
O00501,,claudin family,
O00505,,importin alpha family,
O00506,protein kinase superfamily,STE Ser/Thr protein kinase family,STE20 subfamily
O00507,,peptidase C19 family,
O00512,,BCL9 family,
O00515,,No SIMILARITY comment found,
O00519,,amidase family,
O00522,,No SIMILARITY comment found,
O00526,,uroplakin-2 family,
O00533,immunoglobulin superfamily,L1/neurofascin/NgCAM family,
O00534,,No SIMILARITY comment found,
O00541,,pescadillo family,
O00548,,No SIMILARITY comment found,
O00555,,11) family,CACNA1A subfamily
O00559,,No SIMILARITY comment found,
O00560,,No SIMILARITY comment found,
O00562,,PtdIns transfer protein family,PI transfer class IIA subfamily
O00566,,MPP10 family,
O00567,,NOP5/NOP56 family,
O00570,,No SIMILARITY comment found,
O00571,,DEAD box helicase family,DDX3/DED1 subfamily
O00574,,G-protein coupled receptor 1 family,
O00584,,RNase T2 family,
O00585,,intercrine beta (chemokine CC) family,
O00587,,glycosyltransferase 31 family,
O00590,,G-protein coupled receptor 1 family,Atypical chemokine receptor subfamily
O00591,,9) family,GABRP sub-subfamily
O00592,,podocalyxin family,
O00602,,ficolin lectin family,
O00622,,CCN family,
O00623,,pex2/pex10/pex12 family,
O00624,major facilitator superfamily,Sodium/anion cotransporter family,
O00625,,pirin family,
O00626,,intercrine beta (chemokine CC) family,
O00628,,WD repeat peroxin-7 family,
O00629,,importin alpha family,
O00631,,sarcolipin family,
O00634,,No SIMILARITY comment found,
O00635,,No SIMILARITY comment found,
O00712,,CTF/NF-I family,
O00716,,E2F/DP family,
O00743,,PPP phosphatase family,PP-6 (PP-V) subfamily
O00744,,Wnt family,
O00746,,NDK family,
O00748,,type-B carboxylesterase/lipase family,
O00750,,PI3/PI4-kinase family,
O00754,,glycosyl hydrolase 38 family,
O00755,,Wnt family,
O00757,,FBPase class 1 family,
O00762,,ubiquitin-conjugating enzyme family,
O00763,,No SIMILARITY comment found,
O00764,,pyridoxine kinase family,
O00767,,fatty acid desaturase type 1 family,
O14490,,SAPAP family,
O14492,,SH2B adapter family,
O14493,,claudin family,
O14494,,PA-phosphatase related phosphoesterase family,
O14495,,PA-phosphatase related phosphoesterase family,
O14497,,No SIMILARITY comment found,
O14498,,No SIMILARITY comment found,
O14503,,No SIMILARITY comment found,
O14508,,No SIMILARITY comment found,
O14511,,neuregulin family,
O14512,,No SIMILARITY comment found,
O14513,,No SIMILARITY comment found,
O14514,,G-protein coupled receptor 2 family,LN-TM7 subfamily
O14519,,CDK2AP family,
O14520,,8) family,
O14521,,CybS family,
O14522,,protein-tyrosine phosphatase family,Receptor class 2B subfamily
O14523,,No SIMILARITY comment found,
O14524,,NEMP family,
O14525,,astrotactin family,
O14526,,FCHO family,
O14529,,CUT homeobox family,
O14530,,No SIMILARITY comment found,
O14531,metallo-dependent hydrolases superfamily,Hydantoinase/dihydropyrimidinase family,
O14543,,No SIMILARITY comment found,
O14544,,No SIMILARITY comment found,
O14545,,No SIMILARITY comment found,
O14548,,cytochrome c oxidase VIIa family,
O14556,,glyceraldehyde-3-phosphate dehydrogenase family,
O14558,,small heat shock protein (HSP20) family,
O14559,,PX domain-containing GAP family,
O14561,,acyl carrier protein (ACP) family,
O14562,,No SIMILARITY comment found,
O14569,,No SIMILARITY comment found,
O14576,,dynein intermediate chain family,
O14578,protein kinase superfamily,AGC Ser/Thr protein kinase family,
O14579,,COPE family,
O14581,,G-protein coupled receptor 1 family,
O14593,,No SIMILARITY comment found,
O14594,,aggrecan/versican proteoglycan family,
O14595,,No SIMILARITY comment found,
O14596,,folate receptor family,
O14598,,VCX/VCY family,
O14599,,VCX/VCY family,
O14602,,eIF-1A family,
O14604,,thymosin beta family,
O14607,,UTX family,
O14610,,G protein gamma family,
O14613,,BORG/CEP family,
O14617,,adaptor complexes large subunit family,
O14618,,No family label found,
O14625,,intercrine alpha (chemokine CxC) family,
O14626,,G-protein coupled receptor 1 family,
O14627,,Caudal homeobox family,
O14628,,krueppel C2H2-type zinc-finger protein family,
O14633,,LCE family,
O14638,,nucleotide pyrophosphatase/phosphodiesterase family,
O14639,,No SIMILARITY comment found,
O14640,,DSH family,
O14641,,DSH family,
O14645,,inner dynein arm light chain family,
O14646,,SNF2/RAD54 helicase family,
O14647,,SNF2/RAD54 helicase family,
O14649,,8) family,
O14653,,GOSR2 family,
O14654,,No SIMILARITY comment found,
O14656,,ClpA/ClpB family,Torsin subfamily
O14657,,ClpA/ClpB family,Torsin subfamily
O14662,,syntaxin family,
O14668,,No SIMILARITY comment found,
O14669,,No SIMILARITY comment found,
O14672,,No SIMILARITY comment found,
O14678,ABC transporter superfamily,ABCD family,203) subfamily
O14681,,EI24 family,
O14682,,No SIMILARITY comment found,
O14683,,No SIMILARITY comment found,
O14684,,MAPEG family,
O14686,class V-like SAM-binding methyltransferase superfamily,Histone-lysine methyltransferase family,TRX/MLL subfamily
O14709,,krueppel C2H2-type zinc-finger protein family,
O14713,,No SIMILARITY comment found,
O14715,,No SIMILARITY comment found,
O14717,class I-like SAM-binding methyltransferase superfamily,C5-methyltransferase family,
O14718,,G-protein coupled receptor 1 family,Opsin subfamily
O14727,,No SIMILARITY comment found,
O14730,protein kinase superfamily,RIO-type Ser/Thr kinase family,
O14732,inositol monophosphatase superfamily,,
O14733,protein kinase superfamily,STE Ser/Thr protein kinase family,MAP kinase kinase subfamily
O14734,,C/M/P thioester hydrolase family,
O14735,,CDP-alcohol phosphatidyltransferase class-I family,
O14737,,PDCD5 family,
O14744,class I-like SAM-binding methyltransferase superfamily,Protein arginine N-methyltransferase family,
O14745,,No SIMILARITY comment found,
O14746,,reverse transcriptase family,Telomerase subfamily
O14753,,No SIMILARITY comment found,
O14756,,short-chain dehydrogenases/reductases (SDR) family,
O14757,protein kinase superfamily,CAMK Ser/Thr protein kinase family,NIM1 subfamily
O14763,,No SIMILARITY comment found,
O14764,,9) family,GABRD sub-subfamily
O14770,,TALE/MEIS homeobox family,
O14771,,krueppel C2H2-type zinc-finger protein family,
O14772,,No SIMILARITY comment found,
O14773,,No SIMILARITY comment found,
O14775,,WD repeat G protein beta family,
O14776,,No SIMILARITY comment found,
O14777,,NDC80/HEC1 family,
O14782,TRAFAC class myosin-kinesin ATPase superfamily,Kinesin family,Kinesin II subfamily
O14786,,neuropilin family,
O14787,,importin beta family,Importin beta-2 subfamily
O14788,,tumor necrosis factor family,
O14791,,apolipoprotein L family,
O14792,,sulfotransferase 1 family,
O14793,,TGF-beta family,
O14795,,unc-13 family,
O14796,,No SIMILARITY comment found,
O14798,,No SIMILARITY comment found,
O14802,,RNA polymerase beta' chain family,
O14804,,G-protein coupled receptor 1 family,
O14807,small GTPase superfamily,Ras family,
O14810,,complexin/synaphin family,
O14813,,paired homeobox family,
O14815,,peptidase C2 family,
O14817,,tetraspanin (TM4SF) family,
O14818,,peptidase T1A family,
O14827,,No SIMILARITY comment found,
O14828,,SCAMP family,
O14829,,PPP phosphatase family,
O14830,,PPP phosphatase family,
O14832,,PhyH family,
O14836,,No SIMILARITY comment found,
O14841,,oxoprolinase family,
O14842,,G-protein coupled receptor 1 family,
O14843,,G-protein coupled receptor 1 family,
O14862,,HIN-200 family,
O14863,,4) family,SLC30A subfamily
O14867,,bZIP family,CNC subfamily
O14874,,PDK/BCKDK protein kinase family,
O14879,,IFIT family,
O14880,,MAPEG family,
O14893,,gemin-2 family,
O14894,,L6 tetraspanin family,
O14896,,IRF family,
O14901,,Sp1 C2H2-type zinc-finger protein family,
O14904,,Wnt family,
O14905,,Wnt family,
O14907,,No SIMILARITY comment found,
O14908,,GIPC family,
O14910,,lin-7 family,
O14917,,No SIMILARITY comment found,
O14920,protein kinase superfamily,Ser/Thr protein kinase family,I-kappa-B kinase subfamily
O14921,,No SIMILARITY comment found,
O14924,,No SIMILARITY comment found,
O14925,,Tim17/Tim22/Tim23 family,
O14926,,fascin family,
O14929,,HAT1 family,
O14931,,natural cytotoxicity receptor (NCR) family,
O14933,,ubiquitin-conjugating enzyme family,
O14936,,No family label found,
O14939,,phospholipase D family,
O14944,,No SIMILARITY comment found,
O14948,,MiT/TFE family,
O14949,,UQCRQ/QCR8 family,
O14950,,No SIMILARITY comment found,
O14957,,UQCR11/QCR10 family,
O14958,,calsequestrin family,
O14960,,LECT2/MIM-1 family,
O14964,,No SIMILARITY comment found,
O14965,protein kinase superfamily,Ser/Thr protein kinase family,Aurora subfamily
O14966,small GTPase superfamily,Rab family,
O14967,,calreticulin family,
O14972,,VPS26 family,
O14974,,No SIMILARITY comment found,
O14975,,ATP-dependent AMP-binding enzyme family,
O14976,protein kinase superfamily,Ser/Thr protein kinase family,
O14977,,Orn/Lys/Arg decarboxylase class-II family,ODC antizyme inhibitor subfamily
O14978,,krueppel C2H2-type zinc-finger protein family,
O14979,,No SIMILARITY comment found,
O14980,,exportin family,
O14981,,SNF2/RAD54 helicase family,
O14983,,3) family,Type IIA subfamily
O14986,,No SIMILARITY comment found,
O14990,,protein phosphatase inhibitor 2 family,
O14994,,synapsin family,
O15013,,No SIMILARITY comment found,
O15014,,No SIMILARITY comment found,
O15015,,krueppel C2H2-type zinc-finger protein family,
O15016,,No SIMILARITY comment found,
O15018,,No SIMILARITY comment found,
O15020,,spectrin family,
O15021,protein kinase superfamily,AGC Ser/Thr protein kinase family,
O15027,,SEC16 family,
O15031,,plexin family,
O15033,,No SIMILARITY comment found,
O15034,,RIMBP family,
O15037,,N4BP1 family,
O15040,,WD repeat KIAA0329 family,
O15041,,semaphorin family,
O15042,,splicing factor SR family,
O15047,class V-like SAM-binding methyltransferase superfamily,,
O15049,,N4BP3 family,
O15050,,No SIMILARITY comment found,
O15054,,UTX family,
O15055,,No SIMILARITY comment found,
O15056,,synaptojanin family,
O15060,,krueppel C2H2-type zinc-finger protein family,
O15061,,intermediate filament family,
O15062,,No SIMILARITY comment found,
O15063,,No SIMILARITY comment found,
O15066,TRAFAC class myosin-kinesin ATPase superfamily,Kinesin family,Kinesin II subfamily
O15067,,No family label found,
O15068,,MCF2 family,
O15069,,NAC-alpha family,
O15072,,No SIMILARITY comment found,
O15075,protein kinase superfamily,CAMK Ser/Thr protein kinase family,CaMK subfamily
O15078,,No SIMILARITY comment found,
O15079,,No SIMILARITY comment found,
O15083,,No SIMILARITY comment found,
O15084,,No SIMILARITY comment found,
O15085,,No SIMILARITY comment found,
O15090,,krueppel C2H2-type zinc-finger protein family,
O15091,,PPR family,P subfamily
O15105,,dwarfin/SMAD family,
O15111,protein kinase superfamily,Ser/Thr protein kinase family,I-kappa-B kinase subfamily
O15116,,snRNP Sm proteins family,
O15117,,No SIMILARITY comment found,
O15118,,patched family,
O15119,,No SIMILARITY comment found,
O15120,,1-acyl-sn-glycerol-3-phosphate acyltransferase family,
O15121,,fatty acid desaturase type 1 family,DEGS subfamily
O15123,,No SIMILARITY comment found,
O15126,,SCAMP family,
O15127,,SCAMP family,
O15130,,FARP (FMRFamide related peptide) family,
O15131,,importin alpha family,
O15143,,WD repeat ARPC1 family,
O15144,,ARPC2 family,
O15145,,ARPC3 family,
O15146,protein kinase superfamily,Tyr protein kinase family,
O15151,,MDM2/MDM4 family,
O15155,,BET1 family,
O15156,,No SIMILARITY comment found,
O15160,,archaeal Rpo3/eukaryotic RPB3 RNA polymerase subunit family,
O15162,,phospholipid scramblase family,
O15164,,No SIMILARITY comment found,
O15165,,PMEPA1 family,
O15169,,No SIMILARITY comment found,
O15173,,cytochrome b5 family,MAPR subfamily
O15178,,No SIMILARITY comment found,
O15182,,centrin family,
O15194,,No SIMILARITY comment found,
O15195,,villin/gelsolin family,
O15197,protein kinase superfamily,Tyr protein kinase family,Ephrin receptor subfamily
O15198,,dwarfin/SMAD family,
O15204,,No SIMILARITY comment found,
O15205,,No SIMILARITY comment found,
O15209,,krueppel C2H2-type zinc-finger protein family,
O15211,,No SIMILARITY comment found,
O15212,,prefoldin subunit beta family,
O15213,,No SIMILARITY comment found,
O15217,GST superfamily,Alpha family,
O15218,,G-protein coupled receptor 1 family,
O15226,,No SIMILARITY comment found,
O15228,,GPAT/DAPAT family,
O15229,,aromatic-ring hydroxylase family,KMO subfamily
O15230,,No SIMILARITY comment found,
O15231,,No SIMILARITY comment found,
O15232,,No SIMILARITY comment found,
O15234,,CASC3 family,
O15235,,universal ribosomal protein uS12 family,
O15239,,complex I NDUFA1 subunit family,
O15240,,No SIMILARITY comment found,
O15243,,OB-RGRP/VPS55 family,
O15244,1) superfamily,19) family,
O15245,1) superfamily,19) family,
O15247,,chloride channel CLIC family,
O15254,,acyl-CoA oxidase family,
O15255,,No SIMILARITY comment found,
O15258,,RER1 family,
O15259,,nephrocystin-1 family,
O15260,,SURF4 family,
O15263,,beta-defensin family,LAP/TAP subfamily
O15264,protein kinase superfamily,CMGC Ser/Thr protein kinase family,MAP kinase subfamily
O15265,,ataxin-7 family,
O15266,,paired homeobox family,Bicoid subfamily
O15269,,class-II pyridoxal-phosphate-dependent aminotransferase family,
O15270,,class-II pyridoxal-phosphate-dependent aminotransferase family,
O15273,,No SIMILARITY comment found,
O15287,,No SIMILARITY comment found,
O15294,,glycosyltransferase 41 family,O-GlcNAc transferase subfamily
O15296,,lipoxygenase family,
O15297,,PP2C family,
O15303,,G-protein coupled receptor 3 family,
O15304,,No SIMILARITY comment found,
O15305,,eukaryotic PMM family,
O15315,,RecA family,RAD51 subfamily
O15318,,eukaryotic RPC7 RNA polymerase subunit family,
O15321,,2) family,
O15327,,4-bisphosphate 4-phosphatase family,
O15335,,small leucine-rich proteoglycan (SLRP) family,SLRP class IV subfamily
O15342,,V-ATPase e1/e2 subunit family,
O15344,,TRIM/RBCC family,
O15347,,HMGB family,
O15350,,p53 family,
O15353,,No SIMILARITY comment found,
O15354,,G-protein coupled receptor 1 family,
O15355,,PP2C family,
O15357,,5-trisphosphate 5-phosphatase family,
O15360,,No SIMILARITY comment found,
O15370,,No SIMILARITY comment found,
O15371,,eIF-3 subunit D family,
O15372,,eIF-3 subunit H family,
O15374,major facilitator superfamily,13) family,
O15375,major facilitator superfamily,13) family,
O15379,,histone deacetylase family,HD type 1 subfamily
O15381,,AAA ATPase family,
O15382,,class-IV pyridoxal-phosphate-dependent aminotransferase family,
O15389,immunoglobulin superfamily,SIGLEC (sialic acid binding Ig-like lectin) family,
O15391,,YY transcription factor family,
O15392,,IAP family,
O15393,,peptidase S1 family,
O15394,,No SIMILARITY comment found,
O15397,,importin beta family,
O15399,,1) family,NR2D/GRIN2D subfamily
O15400,,syntaxin family,
O15403,major facilitator superfamily,13) family,
O15405,,No SIMILARITY comment found,
O15409,,No SIMILARITY comment found,
O15417,,No SIMILARITY comment found,
O15427,major facilitator superfamily,13) family,
O15428,,No SIMILARITY comment found,
O15431,,56) family,SLC31A subfamily
O15432,,56) family,SLC31A subfamily
O15438,ABC transporter superfamily,ABCC family,208) subfamily
O15439,ABC transporter superfamily,ABCC family,208) subfamily
O15440,ABC transporter superfamily,ABCC family,208) subfamily
O15442,,UPF0046 family,
O15444,,intercrine beta (chemokine CC) family,
O15446,,eukaryotic RPA34 RNA polymerase subunit family,
O15451,,RIX1/PELP1 family,
O15455,,Toll-like receptor family,
O15457,,DNA mismatch repair MutS family,
O15460,,P4HA family,
O15466,,glycosyltransferase 29 family,
O15467,,intercrine beta (chemokine CC) family,
O15479,,No SIMILARITY comment found,
O15480,,No SIMILARITY comment found,
O15481,,No SIMILARITY comment found,
O15482,,TEX28 family,
O15484,,peptidase C2 family,
O15488,,glycosyltransferase 8 family,Glycogenin subfamily
O15492,,No SIMILARITY comment found,
O15496,,phospholipase A2 family,
O15498,,synaptobrevin family,
O15499,,paired homeobox family,Bicoid subfamily
O15503,,INSIG family,
O15504,,No SIMILARITY comment found,
O15511,,ARPC5 family,
O15514,,eukaryotic RPB4 RNA polymerase subunit family,
O15516,,No SIMILARITY comment found,
O15519,,peptidase C14A family,
O15520,,heparin-binding growth factors family,
O15522,,NK-2 homeobox family,
O15523,,DEAD box helicase family,DDX3/DED1 subfamily
O15524,,SOCS1 family,
O15525,,bZIP family,Maf subfamily
O15527,,type-1 OGG1 family,
O15528,,cytochrome P450 family,
O15529,,G-protein coupled receptor 1 family,
O15530,protein kinase superfamily,AGC Ser/Thr protein kinase family,PDPK1 subfamily
O15533,,No SIMILARITY comment found,
O15534,,No SIMILARITY comment found,
O15535,,krueppel C2H2-type zinc-finger protein family,
O15537,,No SIMILARITY comment found,
O15539,,No SIMILARITY comment found,
O15540,calycin superfamily,Fatty-acid binding protein (FABP) family,
O15541,,No SIMILARITY comment found,
O15547,,P2X receptor family,
O15550,,UTX family,
O15551,,claudin family,
O15552,,G-protein coupled receptor 1 family,
O15553,,No SIMILARITY comment found,
O15554,,potassium channel KCNN family,1/KCNN4 subfamily
O43143,,DEAD box helicase family,DDX15/PRP43 sub-subfamily
O43147,,RUTBC family,
O43148,class I-like SAM-binding methyltransferase superfamily,mRNA cap 0 methyltransferase family,
O43149,,No SIMILARITY comment found,
O43150,,No SIMILARITY comment found,
O43151,,TET family,
O43155,,No SIMILARITY comment found,
O43156,,tti1 family,
O43157,,plexin family,
O43159,methyltransferase superfamily,RRP8 family,
O43164,,No SIMILARITY comment found,
O43166,,No SIMILARITY comment found,
O43167,,krueppel C2H2-type zinc-finger protein family,
O43169,,cytochrome b5 family,
O43172,,No SIMILARITY comment found,
O43173,,glycosyltransferase 29 family,
O43174,,cytochrome P450 family,
O43175,,D-isomer specific 2-hydroxyacid dehydrogenase family,
O43181,,complex I NDUFS4 subunit family,
O43182,,No SIMILARITY comment found,
O43184,,No SIMILARITY comment found,
O43186,,paired homeobox family,
O43187,protein kinase superfamily,TKL Ser/Thr protein kinase family,Pelle subfamily
O43189,,Polycomblike family,
O43193,,G-protein coupled receptor 1 family,
O43194,,G-protein coupled receptor 1 family,
O43196,,DNA mismatch repair MutS family,
O43209,,tubulin family,
O43236,TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily,Septin GTPase family,
O43237,,dynein light intermediate chain family,
O43240,,peptidase S1 family,Kallikrein subfamily
O43242,,proteasome subunit S3 family,
O43246,amino acid-polyamine-organocation (APC) superfamily,3) family,
O43247,,No SIMILARITY comment found,
O43248,,Abd-B homeobox family,
O43251,,No SIMILARITY comment found,
O43252,,No family label found,
O43255,,SINA (Seven in absentia) family,
O43257,,ZNHIT1 family,
O43261,,No SIMILARITY comment found,
O43264,,ZW10 family,
O43272,,proline oxidase family,
O43278,,No SIMILARITY comment found,
O43280,,glycosyl hydrolase 37 family,
O43281,,CAS family,
O43283,protein kinase superfamily,STE Ser/Thr protein kinase family,MAP kinase kinase kinase subfamily
O43286,,glycosyltransferase 7 family,
O43290,,SNU66/SART1 family,
O43291,,No SIMILARITY comment found,
O43292,,No SIMILARITY comment found,
O43293,protein kinase superfamily,CAMK Ser/Thr protein kinase family,DAP kinase subfamily
O43294,,paxillin family,
O43295,,No SIMILARITY comment found,
O43296,,krueppel C2H2-type zinc-finger protein family,
O43298,,krueppel C2H2-type zinc-finger protein family,
O43299,,No SIMILARITY comment found,
O43300,,LRRTM family,
O43301,,heat shock protein 70 family,
O43303,,No SIMILARITY comment found,
O43304,,No SIMILARITY comment found,
O43306,,adenylyl cyclase class-4/guanylyl cyclase family,
O43307,,No SIMILARITY comment found,
O43309,,krueppel C2H2-type zinc-finger protein family,
O43310,,CTIF family,
O43312,,MTSS family,
O43313,,No SIMILARITY comment found,
O43314,,histidine acid phosphatase family,VIP1 subfamily
O43315,,8) family,
O43316,,paired homeobox family,
O43318,protein kinase superfamily,STE Ser/Thr protein kinase family,MAP kinase kinase kinase subfamily
O43320,,heparin-binding growth factors family,
O43323,,hedgehog family,
O43324,,No SIMILARITY comment found,
O43325,,complex I LYR family,
O43345,,krueppel C2H2-type zinc-finger protein family,
O43347,,Musashi family,
O43353,protein kinase superfamily,TKL Ser/Thr protein kinase family,
O43361,,krueppel C2H2-type zinc-finger protein family,
O43364,,Antp homeobox family,Proboscipedia subfamily
O43365,,Antp homeobox family,
O43374,,No SIMILARITY comment found,
O43379,,No SIMILARITY comment found,
O43390,,No SIMILARITY comment found,
O43395,,No SIMILARITY comment found,
O43396,,No SIMILARITY comment found,
O43399,,TPD52 family,
O43402,,EMC8/EMC9 family,
O43405,,No SIMILARITY comment found,
O43414,,No SIMILARITY comment found,
O43422,,No SIMILARITY comment found,
O43423,,ANP32 family,
O43424,,1) family,GRID2 subfamily
O43426,,synaptojanin family,
O43427,,No SIMILARITY comment found,
O43432,,eukaryotic initiation factor 4G family,
O43435,,No SIMILARITY comment found,
O43439,,CBFA2T family,
O43447,,cyclophilin-type PPIase family,PPIase H subfamily
O43448,,shaker potassium channel beta subunit family,
O43451,,glycosyl hydrolase 31 family,
O43462,,peptidase M50A family,
O43463,class V-like SAM-binding methyltransferase superfamily,Histone-lysine methyltransferase family,Suvar3-9 subfamily
O43464,,peptidase S1C family,
O43474,,krueppel C2H2-type zinc-finger protein family,
O43482,,mis18 family,
O43488,,aldo/keto reductase family,Aldo/keto reductase 2 subfamily
O43490,,prominin family,
O43491,,No SIMILARITY comment found,
O43493,,No SIMILARITY comment found,
O43497,,11) family,CACNA1G subfamily
O43502,,RecA family,RAD51 subfamily
O43504,,LAMTOR5 family,
O43505,,glycosyltransferase 49 family,
O43506,,No SIMILARITY comment found,
O43508,,tumor necrosis factor family,
O43511,,53) family,
O43513,,Mediator complex subunit 7 family,
O43516,,verprolin family,
O43520,,3) family,Type IV subfamily
O43521,,Bcl-2 family,
O43524,,No SIMILARITY comment found,
O43525,,potassium channel family,3/KCNQ3 sub-subfamily
O43526,,potassium channel family,2/KCNQ2 sub-subfamily
O43529,,sulfotransferase 2 family,
O43541,,dwarfin/SMAD family,
O43542,,RecA family,RAD51 subfamily
O43543,,RecA family,RAD51 subfamily
O43548,transglutaminase superfamily,Transglutaminase family,
O43555,,GnRH family,
O43556,,sarcoglycan alpha/epsilon family,
O43557,,tumor necrosis factor family,
O43559,,No SIMILARITY comment found,
O43561,,No SIMILARITY comment found,
O43566,,No SIMILARITY comment found,
O43567,,No SIMILARITY comment found,
O43570,,alpha-carbonic anhydrase family,
O43572,,No SIMILARITY comment found,
O43581,,synaptotagmin family,
O43583,,DENR family,
O43586,,No SIMILARITY comment found,
O43592,,exportin family,
O43593,,No SIMILARITY comment found,
O43597,,sprouty family,
O43598,,2'-deoxynucleoside 5'-phosphate N-hydrolase 1 family,
O43602,,No SIMILARITY comment found,
O43603,,G-protein coupled receptor 1 family,
O43609,,sprouty family,
O43610,,sprouty family,
O43612,,orexin family,
O43613,,G-protein coupled receptor 1 family,
O43614,,G-protein coupled receptor 1 family,
O43615,,Tim44 family,
O43617,,TRAPP small subunits family,BET3 subfamily
O43623,,snail C2H2-type zinc-finger protein family,
O43633,,SNF7 family,
O43638,,No SIMILARITY comment found,
O43639,,No SIMILARITY comment found,
O43653,,No SIMILARITY comment found,
O43657,,tetraspanin (TM4SF) family,
O43660,,WD repeat PRL1/PRL2 family,
O43663,,MAP65/ASE1 family,
O43665,,No SIMILARITY comment found,
O43670,,No SIMILARITY comment found,
O43674,,complex I NDUFB5 subunit family,
O43676,,complex I NDUFB3 subunit family,
O43677,,complex I NDUFC1 subunit family,
O43678,,complex I NDUFA2 subunit family,
O43679,,LDB family,
O43680,,No SIMILARITY comment found,
O43681,,arsA ATPase family,
O43683,protein kinase superfamily,Ser/Thr protein kinase family,BUB1 subfamily
O43684,,WD repeat BUB3 family,
O43687,,No SIMILARITY comment found,
O43688,,PA-phosphatase related phosphoesterase family,
O43692,,CRISP family,
O43699,immunoglobulin superfamily,SIGLEC (sialic acid binding Ig-like lectin) family,
O43704,,sulfotransferase 1 family,
O43707,,alpha-actinin family,
O43708,GST superfamily,Zeta family,
O43709,class I-like SAM-binding methyltransferase superfamily,BUD23/WBSCR22 family,
O43711,,No SIMILARITY comment found,
O43715,,TRIAP1/MDM35 family,
O43716,,GatC family,
O43719,,HTATSF1 family,
O43731,,ERD2 family,
O43734,,No SIMILARITY comment found,
O43736,,ITM2 family,
O43739,,No SIMILARITY comment found,
O43741,,5'-AMP-activated protein kinase beta subunit family,
O43745,,calcineurin regulatory subunit family,CHP subfamily
O43747,,adaptor complexes large subunit family,
O43749,,G-protein coupled receptor 1 family,
O43752,,syntaxin family,
O43759,,synaptogyrin family,
O43760,,synaptogyrin family,
O43761,,synaptogyrin family,
O43763,,No SIMILARITY comment found,
O43765,,SGT family,
O43766,radical SAM superfamily,Lipoyl synthase family,
O43768,,endosulfine family,
O43772,,29) family,
O43776,,class-II aminoacyl-tRNA synthetase family,
O43781,protein kinase superfamily,CMGC Ser/Thr protein kinase family,MNB/DYRK subfamily
O43790,,intermediate filament family,
O43791,,Tdpoz family,
O43795,TRAFAC class myosin-kinesin ATPase superfamily,Myosin family,
O43805,,SSNA1 family,
O43808,,29) family,
